CFGPdb_unigene	clones	libraries_specific	annotation	Arabidopsis_first_BLAST_hit_ID	Arabidopsis_first_BLAST_hit_description
aCL2605Contig1	C18014A07,C18014C04,C04015E01,IC0AAA44BG05,IC0AAA81AB05,C08006F07,C31804D07,C31810H03	no	Xylose isomerase	AT5G57655	xylose isomerase family protein, contains similarity to Xylose isomerase (EC 5.3.1.5) (Swiss-Prot:P22842) (Thermoanaerobacter ethanolicus)
aCL261Contig1	C18020D01,C08003G09,C01019D03	no	Expressed protein	AT4G39235	expressed protein
aCL261Contig3	C18023E04,C16018C01,IC0AAA35BE10,C03002G03,C03003G02,C34207E05,C32101A06,C32103H05,C32108E12,C07006G04,C07010B04,C07012A11,C31709C02,KN0AAP9YD19	no	F9L1.28 protein	AT1G15340	methyl-CpG-binding domain-containing protein, contains Pfam profile PF01429: Methyl-CpG binding domain
aCL2640Contig1	C31005B02,C18025B09,C04033F01,KN0AAQ12YK01,IC0AAA84CH01,IC0AAA18BE09,IC0AAA76BA11	no	F14N23.19	AT1G10310	short-chain dehydrogenase/reductase (SDR) family protein, contains INTERPRO family IPR002198 short-chain dehydrogenase/reductase (SDR) superfamily
aCL2656Contig1	C18001G06,IC0AAA35BD02,IC0AAA38DE10,IC0AAA57AG11,IC0AAA84BC10,IC0AAA97BB10,IC0AAA62BA07,KN0AAP11YC02	no	Late elongated hypocotyl	AT1G01060	myb-related transcription factor (CCA1) [Arabidopsis thaliana] (TAIR:At2g46830.1); similar to LHY protein [Phaseolus vulgaris] (GB:CAD12767.2); contains InterPro domain Myb DNA-binding domain (InterPro:IPR001005); contains InterPro domain Myb-like DNA-binding domain, SHAQKYF class (InterPro:IPR006447)
aCL2660Contig1	C05065H08,C18001B02,C18002A11,C18002H09,C18003G08,C18010G09,C34209G11	no	Group I late embryogenesis abundant protein	AT5G06760	late embryogenesis abundant group 1 domain-containing protein / LEA group 1 domain-containing protein, low similarity to SP:P46515 11 kDa late embryogenesis abundant protein (DS11) {Helianthus annuus}; contains Pfam profile PF03760: Late embryogenesis abundant (LEA) group 1
aCL2662Contig1	C18016C07,IC0AAA72BH03,C03002E03,C08039A10,C08024H01,KN0AAP2YP03	no	Patellin 1	AT1G72160	SEC14 cytosolic factor family protein / phosphoglyceride transfer family protein, similar to GI:807956 from (Saccharomyces cerevisiae)similar to polyphosphoinositide binding protein Ssh2p (GI:2739046) {Glycine max}; contains Pfam PF00650 : CRAL/TRIO domain; contains Pfam PF03765 : CRAL/TRIO, N-terminus
aCL268Contig3	KN0AAB1AG01,C18001D06	no	60S ribosomal protein L24	AT2G36620	60S ribosomal protein L24 (RPL24A)
aCL2698Contig1	C18025F12,KN0AAN3AH07	no	no_annotation_available	no_similar_Arabidopsis_protein	
aCL26Contig5	C31305G04,C05073G01,C18017D04,KN0AAN1CE06,C06015B04,C08006C06,C08009A05,C32104B09,KN0AAM1AG08,KN0AAP1YE05	no	AT5g39670/MIJ24_140	AT5G39670	calcium-binding EF hand family protein, contains INTERPRO:IPR002048 calcium-binding EF-hand domain
aCL2710Contig1	KN0AAA3DE06,KN0AAK1AC07,C18024E01,C08039C07,C06006A01,KN0AAP4YF19,KN0AAP4YH18,KN0AAP12YI16	no	Gb|AAF26101.1	AT3G17020	universal stress protein (USP) family protein, similar to early nodulin ENOD18 (Vicia faba) GI:11602747; contains Pfam profile PF00582: universal stress protein family
aCL271Contig1	C18004B03,C18004E05,C18004H02,C18005D03,C18005D10,C18006D02,C18006D08,C18009B04,C18009E12,C18015C08,C18015E12,C18018C09,C18019E04,C18019H05,C18021H01,C18022A01,C18023C12,C18023D11,C18023E08,C19003H11,C19005E10,C19006D08,C19009A03,C19009B07,C19010B06,C02008G02,IC0AAA64BG05,KN0AAP8YJ16	no	Beta xylosidase	AT5G49360	glycosyl hydrolase family 3 protein
aCL2730Contig1	C18007E02,C18007H11,C18010F11,C18010H06,C18013H10,C18017F02,C18008G10,C18018A12	yes	T15F16.6 protein	AT4G08570	heavy-metal-associated domain-containing protein / copper chaperone (CCH)-related, low similarity to copper homeostasis factor (GI:3168840)(PMID:9701579); similar to farnesylated proteins GMFP7 (Glycine max)(GI:4097573) and ATFP7 (GI:4097555); contains heavy-metal-associated domain PF00403
aCL2739Contig1	C18021F12,KN0AAN2DA02,C06007D03,C02022B09,C02023A07,C02023C10,C32108C07	no	Ubiquitin-specific protease 24	AT4G30890	ubiquitin-specific protease 24, putative (UBP24), identical to ubiquitin-specific protease 24 (Arabidopsis thaliana) GI:11993488
aCL2765Contig1	C18017F04,C06005E04,KN0AAL3BG02,C06024A01	no	SGS; HSP20-like chaperone	AT1G30070	SGS domain-containing protein, similar to calcyclin binding protein (Mus musculus) GI:3142331; contains Pfam profile PF05002: SGS domain
aCL2778Contig2	KN0AAB1DC09,C18008A03,C06022F06,KN0AAM1DD02,C31803E06	no	Cysteine synthase	AT5G28020	cysteine synthase, putative / O-acetylserine (thiol)-lyase, putative / O-acetylserine sulfhydrylase, putative [Arabidopsis thaliana] (TAIR:At5g28030.1); similar to cysteine synthase, putative / O-acetylserine (thiol)-lyase, putative / O-acetylserine sulfhydrylase, putative [Arabidopsis thaliana] (TAIR:At5g28030.2); similar to cysteine synthase [Nicotiana plumbaginifolia] (GB:AAR18402.1); contains InterPro domain Pyridoxal-5'-phosphate-dependent enzyme, beta family (InterPro:IPR001926); contains InterPro domain Cysteine synthase K (InterPro:IPR005859); contains InterPro domain Cysteine synthase/cystathionine beta-synthase P-phosphate-binding site (InterPro:IPR001216); contains InterPro domain Cysteine synthase K/M (InterPro:IPR005856)
aCL279Contig1	C31003D10,C18017G11,C18015B12,C18015F06,C18021B05,C04010E07,C02003B10,IC0AAA58BG07,IC0AAA21CC07,IC0AAA64CE04,IC0AAA50CE03,IC0AAA73DB09,IC0AAA84CE03,IC0AAA92AD07,IC0AAA23DC11,IC0AAA4BH11,KN0AAQ1YM06,IC0AAA18BA08,IC0AAA47AD04,IC0AAA43DG02,KN0AAQ13YP06,IC0AAA62AG02,IC0AAA96AE12,IC0AAA33CA04	no	OSJNBa0014K14.4 protein	AT4G32060	calcium-binding EF hand family protein, contains INTERPRO:IPR002048 calcium-binding EF-hand domain
aCL2802Contig1	KN0AAK2CH03,C18012G01,C18020D07,C18020G02,C04026F10	no	Gb|AAF00631.1	AT5G18130	expressed protein, similar to unknown protein (gb:AAF00631.1)
aCL280Contig4	KN0AAK2DF06,KN0AAB2CD09,KN0AAI2CB07,KN0AAI1DA12,C31401G05,C31302B04,C31305B12,C18003E06,C18017H03,C05072H08,KN0AAP3YJ21,KN0AAP3YK16,KN0AAP5YF06,KN0AAP13YF08,KN0AAP5YM02,KN0AAP10YB13,KN0AAP4YD10,KN0AAP4YF04,KN0AAP9YO24	no	Type I proteinase inhibitor-like protein	AT2G38870	protease inhibitor, putative, similar to SP:P24076 Glu S.griseus protease inhibitor (BGIA) {Momordica charantia}; contains Pfam profile PF00280: Potato inhibitor I family
aCL2810Contig1	C05065G11,C18007C04,C32010A06,C06056A07	no	Putative cyclophilin	AT2G38730	peptidyl-prolyl cis-trans isomerase, putative / cyclophilin, putative / rotamase, putative, similar to cyclophilin (Homo sapiens) gi:3647230:gb:AAC60793
aCL2840Contig1	C18001B09,C04031B08,IC0AAA51DB07,IC0AAA94CB11,C31705F05,C01013A11	no	UPI000034F190; AT4g36980/C7A10_380	AT4G36980	expressed protein
aCL2843Contig1	C18005A04,C18005B07,C18011E02,C18012B03,C18012B09,C18024H04,C18025A03	yes	MYB-related transcription factor-like protein	AT3G30210	myb family transcription factor (MYB121), contains Pfam profile: PF00249 Myb-like DNA-binding domain (2 copies)
aCL2844Contig1	KN0AAK2AG02,KN0AAK1DG02,C18016A10,C18016F10,C18018B09,C18021C06,C18023A02	no	T13D8.8 protein	AT1G60190	armadillo/beta-catenin repeat family protein / U-box domain-containing protein, contains Pfam domain, PF00514: Armadillo/beta-catenin-like repeats and Pfam, PF04564: U-box domain
aCL2851Contig1	KN0AAI2DB08,C18013E05,C18009E07,C18009H12,KN0AAN1DE04,IC0AAA49BF08,KN0AAM1BC01	no	F-box protein GID2	AT4G24210	F-box family protein / SLEEPY1 protein, contains Pfam PF00646: F-box domain; similar to F-box protein Fbx8 (GI:6164735) (Homo sapiens); identified as SLEEPY1 in McGinnis, et al, Plant Cell (2003) 15: 1120-1130.
aCL2860Contig1	C18018H05,C08018F03,C06022H07,KN0AAM2AA10,KN0AAM2DC08,KN0AAP6YN22	no	F3F20.1 protein	AT1G05570	glycosyl transferase family 48 protein [Arabidopsis thaliana] (TAIR:At5g13000.1); similar to glycosyl transferase family 48 protein [Arabidopsis thaliana] (TAIR:At2g31960.1); similar to glycosyl transferase family 48 protein [Arabidopsis thaliana] (TAIR:At1g06490.1); similar to glycosyl transferase family 48 protein [Arabidopsis thaliana] (TAIR:At2g13680.1); similar to glycosyl transferase family 48 protein [Arabidopsis thaliana] (TAIR:At3g59100.1); similar to putative callose synthase 1 catalytic subunit [Oryza sativa (japonica cultivar-group)] (GB:BAD72533.1); similar to Putative glucan synthase [Oryza sativa (japonica cultivar-group)] (GB:NP_912480.1); similar to OJ1029_F04.4 [Oryza sativa (japonica cultivar-group)] (GB:NP_918100.1); similar to putative beta-1,3-glucan synthase [Nicotiana alata] (GB:AAK49452.2); similar to putative callose synthase 1 catalytic subunit [Oryza sativa (japonica cultivar-group)] (GB:BAD62105.1); contains InterPro domain Glycosyl transferase, family 48 (InterPro:IPR003440)
aCL286Contig1	C31103G02,C21002A06,C21004F05,C18004G02,C18018A02,C05801C01,C05803H04,C04002C05,C04028F09,KN0AAQ12YJ18,IC0AAA33DF01,IC0AAA91CE01,IC0AAA3DH03,IC0AAA14BC09,KN0AAQ11YE18,IC0AAA2CE01,IC0AAA85AF05,IC0AAA10AD06,IC0AAA77DE07,C08036D12,C08037D11,C08009A01,C08012G04,C08003E02,C34106D02,C06056A12	no	Putative membrane protein	AT5G35735	auxin-responsive family protein, similar to auxin-induced protein AIR12 GI:11357190 (Arabidopsis thaliana)
aCL2872Contig1	C18010D02,C18014G11,C05138G04,KN0AAQ5YB07,C32105D02,KN0AAP3YB23,C01003F01	no	Photosystem I subunit XI	AT4G12800	photosystem I reaction center subunit XI, chloroplast (PSI-L) / PSI subunit V, identical to Photosystem I reaction center subunit XI, chloroplast precursor (PSI-L) (PSI subunit V) (Swiss-Prot:Q9SUI4) (Arabidopsis thaliana); contains Pfam profile PF02605: photosystem I reaction center subunit XI; contains 2 transmembrane domains
aCL2874Contig1	KN0AAK2BD05,C18015H07,C16014B05,C05002C02,KN0AAP8YG03,KN0AAP8YK02,C01004F06	no	A_TM018A10.10 protein	AT4G00755	F-box family protein, ; similar to SKP1 interacting partner 2 (SKIP2) TIGR_Ath1:At5g67250
aCL2879Contig1	C18019C06,C05055F03,KN0AAL3AB08,C34007A12,C31801A01,C31808H08,KN0AAP9YO12	no	At2g25260	AT5G25265	expressed protein
aCL2884Contig1	C18006A02,C18025E05,IC0AAA36BE09,IC0AAA8AG12,C32106H10,C31705E01,C31707E07	no	EMB1923 | expressed protein	AT4G28210	EMB1923 | expressed protein
aCL2889Contig1	C18020A08,C06024G03,C06024G04	no	Protein At2g42210	AT2G42210	expressed protein, similar to hypothetical protein [Oryza sativa (japonica cultivar-group)] (GB:XP_450480.1); contains InterPro domain Mitochondrial import inner membrane translocase, subunit Tim17/22 (InterPro:IPR003397)
aCL288Contig2	C18008G01,IC0AAA86AB08,IC0AAA14BD11,IC0AAA4AE11,IC0AAA87DF05,IC0AAA48BD06,IC0AAA92AB12,IC0AAA92AD02,IC0AAA89DG11,IC0AAA27BA06,IC0AAA27BA07,IC0AAA96AH10,IC0AAA12AF07,C08020H09,C08003A06,C06052F05,C06052F08,C06054A03,KN0AAM3CB01,KN0AAP13YN10	no	AT4g35220/F23E12_220	AT4G35220	cyclase family protein, contains Pfam profile: PF04199 putative cyclase
aCL2890Contig1	C18003C02,C18003G05,C02009C05,C02022A08,C02023A02,C02024B12,C03005E12	no	60S ribosomal protein L31	AT5G56710	60S ribosomal protein L31 (RPL31C)
aCL289Contig2	C18013C04,C06016H06,KN0AAP10YC21,KN0AAP2YM06	no	no_annotation_available	AT2G17705	expressed protein, similar to expressed protein [Arabidopsis thaliana] (TAIR:At4g08330.1); similar to unknown protein [Oryza sativa (japonica cultivar-group)] (GB:BAD73777.1)
aCL2906Contig1	C18020A10,IC0AAA15CG10,C03001E10	no	At1g30270/F12P21_6	AT1G30270	CBL-interacting protein kinase 9 (CIPK9) [Arabidopsis thaliana] (TAIR:At1g01140.3); similar to CBL-interacting protein kinase 9 (CIPK9) [Arabidopsis thaliana] (TAIR:At1g01140.2); similar to CBL-interacting protein kinase 9 (CIPK9) [Arabidopsis thaliana] (TAIR:At1g01140.1); similar to Ser/Thr protein kinase [Lotus corniculatus var. japonicus] (GB:BAD95889.1); contains InterPro domain Serine/threonine protein kinase, active site (InterPro:IPR008271); contains InterPro domain Tyrosine protein kinase (InterPro:IPR001245); contains InterPro domain NAF domain (InterPro:IPR004041); contains InterPro domain Serine/threonine protein kinase (InterPro:IPR002290); contains InterPro domain Protein kinase (InterPro:IPR000719)
aCL2912Contig1	C18007E12,IC0AAA34BB04,IC0AAA74CB05,IC0AAA33BD06,C08005G07,C31806F09	no	Cysteine desulfurase, mitochondrial precursor	AT5G65720	cysteine desulfurase, mitochondrial (NIFS), identical to Cysteine desulfurase, mitochondrial precursor (SP:O49543) {Arabidopsis thaliana}; identical to cDNA GI:12656131; contains Pfam profile PF00266: aminotransferase, class V
aCL2929Contig1	C31303F02,C18010D03,C16013B02,IC0AAA87BE10,KN0AAQ4YL13,IC0AAA83BH03	no	SEU1 protein	AT5G62090	expressed protein
aCL2944Contig1	C31003G12,C18018G11,KN0AAL3BE02,KN0AAL3DE02,C34201C04,C31701D12	no	Alcohol dehydrogenase	AT5G42250	alcohol dehydrogenase, putative, similar to alcohol dehydrogenase ADH GI:7705214 from (Lycopersicon esculentum); contains Pfam zinc-binding dehydrogenase domain PF00107
aCL294Contig3	KN0AAI3DA07,C18022D03,C02009F04,KN0AAQ9YC12,IC0AAA70BG02,IC0AAA69DA12,IC0AAA55DF08,IC0AAA14CH06,IC0AAA97BC02,IC0AAA27BG04,IC0AAA90DA12,IC0AAA80AF10,IC0AAA9DD05,IC0AAA92CG12,IC0AAA54DB08,IC0AAA47CH06,KN0AAL3DH11,KN0AAP12YJ16	no	T5E21.14/T5E21.14	AT1G14670	endomembrane protein 70, putative, similar to endomembrane protein emp70 precursor isolog GB:AAF67014 GI:7677068 (Homo sapiens)
aCL296Contig1	C31005G02,C31010D07,C31107H09,C31402D10,C31403C07,C31404C10,C31303H03,C18016G06,KN0AAQ1YP08,C08014H07,C34007B06,C34007G04,C34110E08,C34101C12,C34102A12,C34108C02,C32006G02,C32009F05,C32011H05,C32106C09,C32107C10,C32108B05,C31702G10,C31704D08,C31707D11,C31708B07,C31801E02	no	Anx1	AT5G65020	annexin 2 (ANN2), identical to annexin (AnnAt2) (Arabidopsis thaliana) GI:4959108
aCL2970Contig1	KN0AAB2BD07,C18015B10,C06021C09,C34102F12,C06014C12,C01015C05,C01005G11	no	OSJNBb0039L24.10 protein	AT4G00660	DEAD/DEAH box helicase, putative, similar to ATP-dependent RNA helicases
aCL2976Contig1	C21008E04,C18015H03,C04028A09,C06012B04,C06014H11,C06053G10,C06054B07	no	no_annotation_available	AT2G47485	expressed protein
aCL297Contig2	KN0AAA3CA06,KN0AAA2DF12,KN0AAB1BC08,KN0AAB1CH06,KN0AAI2BC05,KN0AAI2BC11,KN0AAI3AG05,KN0AAI3BA01,C32002C06,C18001H03,C18002F09,C18002H03,C18007C08,C18010C07,C18013G01,C18013G12,C02010D03,C07002D04,C03011A09,KN0AAH2DB01,KN0AAP2YC07,KN0AAP6YC22,C01001C03	no	Miraculin-like protein	AT1G17860	trypsin and protease inhibitor family protein / Kunitz family protein, similar to LeMir (miraculin homolog) GI:2654440 from (Lycopersicon esculentum), tumor-related protein (Nicotiana tabacum) GI:1762933; contains Pfam profile PF00197: Trypsin and protease inhibitor
aCL2981Contig1	C18016E11,C31603A05	no	Lactoylglutathione lyase	AT1G08110	lactoylglutathione lyase, putative / glyoxalase I, putative [Arabidopsis thaliana] (TAIR:At1g67280.1); similar to Glyoxalase I [Cicer arietinum] (GB:CAA12028.1); contains InterPro domain Glyoxalase I (InterPro:IPR004361); contains InterPro domain Glyoxalase/Bleomycin resistance protein/dioxygenase domain (InterPro:IPR004360)
aCL29Contig1	C18017A12,C05132A07,C05004E12	no	Glyceraldehyde 3-phosphate dehydrogenase	AT3G04120	glyceraldehyde-3-phosphate dehydrogenase, cytosolic (GAPC) / NAD-dependent glyceraldehyde-3-phosphate dehydrogenase, identical to SP:P25858 Glyceraldehyde 3-phosphate dehydrogenase, cytosolic (EC 1.2.1.12) {Arabidopsis thaliana}
aCL2Contig6	C18002H05,C05134H08,C04031D10,C06006D08,C06012C11,KN0AAP13YI01	no	LYTB-like protein-like	AT4G34350	ISPH | Arabidopsis ISPH is involved in the plastid nonmevalonate pathway of isoprenoid biosynthesis. It was shown to complement the lethal phenotype of E.coli ispH mutant and is therefore most likely encodes a protein with 4-hydroxy-3-methylbut-2-en-1-yl diphosphate reductase activity involved in the last step of mevalonate-independent isopentenyl biosynthesis.
aCL3009Contig1	C31208C03,C31208F01,C18023B08,KN0AAP10YM18	no	GTP-binding protein	AT5G59840	Ras-related GTP-binding family protein, contains Pfam profile: PF00071 Ras family
aCL3014Contig1	C18006B08,IC0AAA98AD08,IC0AAA71DB01,IC0AAA82CD03,IC0AAA70CD09,IC0AAA42AE06,IC0AAA86DA03	no	Type IIB calcium ATPase	AT3G57330	calcium-transporting ATPase, plasma membrane-type, putative / Ca2+-ATPase, putative (ACA11), identical to SP:Q9M2L4:ACAB_ARATH Potential calcium-transporting ATPase 11, plasma membrane-type (EC 3.6.3.8) (Ca(2+)-ATPase isoform 11) {Arabidopsis thaliana}; strong similarity to calmodulin-stimulated calcium-ATPase (Brassica oleracea) GI:1805654 Belongs to plant 2B ATPase##s with an N-terminal autoinhibitor.
aCL3034Contig1	C18006F08,IC0AAA50CF01,IC0AAA90BB02,IC0AAA45AC05,IC0AAA19DE03,IC0AAA23DG12	no	Putative nodulin	AT1G75500	nodulin MtN21 family protein, similar to MtN21 GB:CAA75575 GI:2598575 from (Medicago truncatula) (Mol. Plant Microbe Interact. 9 (4), 233-242 (1996)); contains Pfam profile PF00892: Integral membrane protein
aCL3042Contig1	KN0AAK1BC10,KN0AAK1CC10,C18016E10,C18019E08,C18022F04,C03001C02,C01019D12	no	Protein disulfide isomerase (PDI)-like protein 3	AT1G60420	DC1 domain-containing protein, contains Pfam domain PF03107: DC1 domain
aCL3072Contig1	C18021H04,KN0AAL3DE10,C08038H01,C08009D04,C08030E02,C34108F09	no	Homogentisate geranylgeranyl transferase	AT2G18950	homogentisate phytylprenyltransferase family protein (HPT1) / tocopherol phytyltransferase family protein (TPT1), identical to gi:17104828; contains Pfam profile PF01040: UbiA prenyltransferase family; identical to cDNA tocopherol polyprenyltransferase (TPT1) GI:17104827
aCL3091Contig1	C31109G08,C21002B12,C18009F05,C02017A07,KN0AAP13YB07,KN0AAP2YL04,KN0AAP7YM24	no	Alpha-soluble NSF attachment protein 2	AT3G56190	alpha-soluble NSF attachment protein 2 / alpha-SNAP2 / ASNAP2, identical to alpha-soluble NSF attachment protein 2 / alpha-SNAP2 SP:Q9SPE6 from (Arabidopsis thaliana)
aCL309Contig2	C18006E05,C06008B12	no	Putative 60S ribosomal protein L1	AT3G09630	60S ribosomal protein L4/L1 (RPL4A), strong similarity to 60S ribosomal protein L1 GB:P49691
aCL30Contig3	C31109F08,KN0AAK2DA04,C18008F01,C18015G02,C04018A10,C04019B04,C07002E09,C08015G12,C34001H07,C34107B05,C07010E07,C31805G10	no	Isoflavone reductase related protein	AT4G39230	isoflavone reductase, putative, similar to allergenic isoflavone reductase-like protein Bet v 6.0102 (Betula pendula)(GI:10764491); contains Pfam profile PF02716: Isoflavone reductase
aCL3102Contig1	C21007B06,C18004E11,KN0AAN2AC07,C16014F12,C34203E07,C34205G11,C06053F11	no	Branched-chain-amino-acid aminotransferase 2, chloroplast precursor	AT1G10070	branched-chain amino acid aminotransferase 5 / branched-chain amino acid transaminase 5 (BCAT5) [Arabidopsis thaliana] (TAIR:At5g65780.1); similar to branched-chain amino acid aminotransferase [Solanum tuberosum] (GB:AAF07192.1); contains InterPro domain Aminotransferase, class IV (InterPro:IPR001544); contains InterPro domain Branched-chain amino acid aminotransferase II (InterPro:IPR005786)
aCL3106Contig1	C31201F07,C31207C06,C18013G06,C05804B05,C08008F04,KN0AAM2AD08,KN0AAP13YI12	no	CCDC25 protein	AT5G11500	expressed protein, contains Pfam profile PF05670: Domain of unknown function (DUF814)
aCL3116Contig1	C18013H06,C18020F10,C34100A10,C06012B08,C31709A12,C31810H10	no	NADPH-dependent mannose 6-phosphate reductase	AT2G21250	mannose 6-phosphate reductase (NADPH-dependent), putative, 6-phosphate reductase (Apium graveolens)(GI:1835701), NADP-dependent D-sorbitol-6-phosphate dehydrogenase (Malus domestica)(SP:P28475)
aCL3129Contig1	C18014B05,IC0AAA72BB05,IC0AAA75DG04,IC0AAA90DF02,IC0AAA63DH07,C32006E01,C31708E06	no	Arabidopsis thaliana genomic DNA, chromosome 5, P1 clone:MFG13	AT5G51340	expressed protein
aCL313Contig1	C18002D08,C04015G02,IC0AAA7AE01,IC0AAA50BC11,IC0AAA50CE08,IC0AAA37CF12,IC0AAA65AF03,IC0AAA20DA06,IC0AAA16DH01,IC0AAA1DC02,KN0AAP2YE16	no	F27J15.9	AT3G18410	NADH-ubiquinone oxidoreductase-related, similar to NADH-ubiquinone oxidoreductase 12 kDa subunit, mitochondrial precursor (EC 1.6.5.3) (EC 1.6.99.3) (Complex I-12KD) (CI-12KD). (Swiss-Prot:Q03015) (Neurospora crassa)
aCL3155Contig1	C18007G01,C07005G04,C07006G07,C07011B07,C07012H10,KN0AAP12YG13,C01009B08	no	Gb|AAD55473.1	AT5G57040	lactoylglutathione lyase family protein / glyoxalase I family protein, contains Pfam PF00903: glyoxalase family protein
aCL3187Contig1	C18020B10,C05015F06,C34100E09,C06016C10,KN0AAP6YI16	no	Heat shock factor RHSF9	AT4G18880	heat shock transcription factor 21 (HSF21), identical to heat shock transcription factor 21 (Arabidopsis thaliana) GI:3399765; contains Pfam profile: PF00447 HSF-type DNA-binding domain
aCL31Contig3	KN0AAK1AH02,KN0AAB1AF02,C21002C03,C21007A06,C21007C03,C18010E04,C05809A11,C06021E01,C04015D07,C04018C03,C31605E08,C02025E07,IC0AAA64DA11,KN0AAL3CD01,C08036E09,C08039A01,C34102F09,C34103E07,C34205B03,C06022F04,C06018D07,C06018E01,C06020B04,KN0AAM3DF09,C07009C08,KN0AAP13YH18,KN0AAP10YC16	no	Enolase 1	AT2G36530	enolase, identical to SWISS-PROT:P25696 enolase (EC 4.2.1.11) (2-phosphoglycerate dehydratase)(2-phospho-D- glycerate hydro-lyase) (Arabidopsis thaliana)
aCL3218Contig1	C21006C07,C21006D01,C21006D02,C21008F10,C18021E10,KN0AAP8YO11	no	RNA polymerase Rpb3/Rpb11 dimerisation domain, putative	AT2G29540	DNA-directed RNA polymerase II 13.6 kDa subunit (RPB13.6) [Arabidopsis thaliana] (TAIR:At3g52090.1); similar to Polymerase (RNA) I polypeptide C [Homo sapiens] (GB:CAI16933.1); contains InterPro domain DNA-directed RNA polymerase, 13 to 16 kDa subunit (InterPro:IPR008193)
aCL322Contig1	C18002C02,C18017H01,KN0AAQ7YA21,IC0AAA8CH06,IC0AAA100BD03,IC0AAA57AD02,IC0AAA71DE01,IC0AAA44DA06,IC0AAA12DB02,IC0AAA37DE12,KN0AAQ3YE14,IC0AAA38AD02,KN0AAQ13YL02,IC0AAA29BB04,IC0AAA33BG01,IC0AAA92DB03,IC0AAA13DC03,IC0AAA92DG03,KN0AAL3AA12,C34106E09,C32007C05,C32011G02,C05044C04,C31803F10,C01002G03	no	At1g03400/F21B7_31	AT1G03400	2-oxoglutarate-dependent dioxygenase, putative, similar to 2A6 (GI:599622) and tomato ethylene synthesis regulatory protein E8 (SP:P10967); similar to ESTs emb:Z34690, gb:T04168, gb:H37738, gb:T76913, gb:T43801, amd gb:T21964
aCL3275Contig1	C05701F10,KN0AAI3AA12,C18004H11,C05054E04,IC0AAA42BA07,KN0AAP1YG04	no	Branched-chain alpha keto-acid dehydrogenase E1-alpha subunit	AT1G21400	2-oxoisovalerate dehydrogenase, putative / 3-methyl-2-oxobutanoate dehydrogenase, putative / branched-chain alpha-keto acid dehydrogenase E1 alpha subunit, putative, similar to branched-chain alpha-keto acid dehydrogenase E1-alpha subunit (Gallus gallus) GI:12964598; contains Pfam profile PF00676: Dehydrogenase E1 component
aCL3277Contig1	C18015E07,C18016B09,C18016B12,C18016H10,C18020G03,C18024D09	yes	Putative cruciform DNA binding protein	no_similar_Arabidopsis_protein	
aCL32Contig1	C31009B05,C21001A05,C21001A09,C21001B03,C21001B06,C21001C02,C21001E09,C21001E11,C21001H08,C21002C06,C21002E05,C21002E08,C21002H09,C21002H10,C21003F01,C21003G11,C21003H06,C21004G09,C21004G12,C21005C10,C21005D02,C21005D12,C21005E06,C21005F06,C21005G04,C21005G09,C21006A05,C21006B11,C21006E10,C21007A02,C21007A12,C21007D01,C21007E05,C21007F03,C21007F05,C21007G01,C21008B03,C21008B10,C21008C10,C21008E03,C21008G06,C21008G08,C18001C08,C18001H05,C18010E03,C18010F05,C19001G05,IC0AAA30BC11,IC0AAA3DB11,IC0AAA83AH10,C03007E07,C20003C11,C20009C09,C20010B07,C20010G12,KN0AAM3CH01	no	S-adenosyl-L-methionine:salicylic acid carboxyl methyltransferase	AT1G19640	S-adenosyl-L-methionine:jasmonic acid carboxyl methyltransferase (JMT), nearly identical to gi:13676829
aCL3303Contig1	C31003G08,C31003H08,C21004C08,C18019F07,IC0AAA12CD12,C01006H04	no	At2g04030/F3C11.14	AT2G04030	EMB1956 | heat shock protein, putative, strong similarity to heat shock protein (Arabidopsis thaliana) GI:1906830; contains Pfam profiles PF02518: ATPase, histidine kinase-, DNA gyrase B-, and HSP90-like domain protein, PF00183: Hsp90 protein
aCL3305Contig1	KN0AAB3DB05,C31202C09,C31209H10,C31305G07,C18012H12,C31810H06	no	Peroxisomal ascorbate peroxidase	AT4G35000	L-ascorbate peroxidase 3 (APX3), identical to ascorbate peroxidase 3 (Arabidopsis thaliana) GI:2444019, L-ascorbate peroxidase (Arabidopsis thaliana) gi:1523791:emb:CAA66926; similar to ascorbate peroxidase (Gossypium hirsutum) gi:1019946:gb:AAB52954
aCL3306Contig1	C18022E05,C08018H04,C34110D09	no	Nucleic acid binding protein (Alfin-1), putative	AT1G14510	PHD finger family protein, contains Pfam domain, PF00628: PHD-finger
aCL3310Contig1	C18020C11,IC0AAA60AF09,IC0AAA25DD04,IC0AAA16DG03,KN0AAP11YN07	no	Putative serine/threonine-protein kinase ctr1	AT4G38470	protein kinase family protein, similar to protein kinase (gi:170047) from Glycine max; contains Pfam protein kinase domain PF00069
aCL3315Contig1	C18023B04,IC0AAA100BF05,IC0AAA55CF05,IC0AAA2CH07,IC0AAA92CB01,C32108H03	no	no_annotation_available	no_similar_Arabidopsis_protein	
aCL3319Contig1	C31100B11,C18015B08,C04032H11,C04010B03,KN0AAL2AF08,KN0AAL2CH01	no	Chitinase CHI1	AT3G54420	class IV chitinase (CHIV), almost identical to class IV chitinase from GI:2597826 (Arabidopsis thaliana)
